CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-130870	498212	CB DT DW TE1743	Estimation of Responses of Four Animal Species to Graded Respiratory Doses of Wet Staphylococcus	Miller, William S.	63-TE-1737 63-TE-1743 TEST-A-1743	1965-03-04	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130871	498208	CB DT DW TE1737	Evaluation of Wet Staphylococcal Enterotoxin.	Miller, William S.	TEST-A-1737 63-TE-1737 63-TE-1743	1965-03-04	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130872	498199	CB DT DW TE1785	Aerogenic Challenge of Vaccinated Rabbits with Pasteurella tularensis SCHU4.	Jemski, Joseph V.		1965-03-25	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Further dissemination only as directed by Commanding Officer, Fort Detrick, Attn:	U
CB-130873	498197	CB DT DW TE1783	Evaluation of the Cotton Collector for Sampling Low Concentration Aerosols of Wet Pasteurella tularensis	Walker, Robert L.	TEST-A-1783 63-TE-1783	1965-04-26	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution Controlled. All requests for this document shall be referred to Commanding	U
CB-130874	498177	CB DT DW TE1667	Yellow Fever Virus Titer Increase in Mosquitoes During Extrinsic Incubation.	James, Robert E.	TEST-A-1667 62-TE-1667	1965-09-02	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution Controlled. All requests for this document shall be referred to Commanding	U
CB-130875	498009	CB DT DW TE1857	Aerosol Sampling of Coxiella burnetii with the Staplex Hi-volume Air Sampler.	Jemski, Joseph V.	TEST-A-1857 63-TE-1857	1965-06-10	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Apr 1989. Other	U
CB-130876	498003	CB DT DW TE1851	An Evaluation of the Rotating Nozzle Disseminator.	Jemski, Joseph V.	TEST-A-1851 63-TE-1851	1965-05-14	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Apr 1989. Other	U
CB-130877	498002	CB DT DW TE1849	A Sampler Comparison with Submicronic Aerosols of VEE Virus and P(32).	Miller, William S.	TEST-A-1849 63-TE-1849	1965-04-02	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Apr 1989. Other	U
CB-130878	498001	CB DT DW TE1848	The Responses of Rabbits Challenged with Aerosols of Venezuelan Equine Encephalomyelitis (VEE) Virus.	Jemski, Joseph V.	TEST-A-1848 63-TE-1848	1965-11-01	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130879	497991	CB DT DW TE1834	Challenge of Vaccinated and Nonvaccinated Squirrel Monkeys with Aerosols of Staphylococcal Enterotoxin.	Jemski, Joseph V.	TEST-A-1834 63-TE-1834	1965-03-25	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130880	497982	CB DT DW TE1823	Aerogenic Challenge of Volunteers with Coxiella Burnetii.	Jemski, Joseph V.	TEST-A-1823 63-TE-1823	1965-06-25	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130881	497977	CB DT DW TE1818	Evaluation of the Staplex Hi-volume Air Sampler with Aerosols of Wet Pasteurella tularensis.	Walker, Robert L.	TEST-A-1818 63-TE-1818	1965-04-22	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130882	497976	CB DT DW TE1813	Evaluation of the Hi-volume Sampler for Aerosols of Venezuelan Equine Encephalomyelitis Virus Traced	Walker, Robert L.	TEST-A-1813 63-TE-1813	1965-01-21	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130883	497974	CB DT DW TE1811	Evaluation of the Hi-volume Sampler with Aerosols of Wet Bacillus Subtilis var. niger and Venezuelan	Walker, Robert L.	TEST-A-1811 63-TE-1811	1965-02-25	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130884	497972	CB DT DW TE1806	The Effect of Relative Humidity on the Aerosol Properties of Venezuelan Equine Encephalomyelitis Virus	Walker, Robert L.	TEST-A-1806 63-TE-1806	1965-01-18	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130885	497957	CB DT DW TE1655	Challenge of X-irradiated, Vaccinated Guinea Pigs with Aerosols of Pasteurella tularensis.	Jemski, Joseph V.	62-TE-1655 TEST-A-1655	1965-05-24	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-130886	497720	CB DT DW TE1512	Longevity of Three Lots of Adult Female Aedes Aegypti Mosquitoes (CD Strain) at 65 F and 80 percent	Walker, Robert L.		1965-02-17	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Further dissemination only as directed by Commanding Officer, Fort Detrick, Attn:	U
CB-130887	486429	CB DT DW	Miniature, Spin-Arming Impact Fuze.		EJ-280-0690-1	1965-04-15	SPERRY UTAH CO SALT LAKE CITY	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130888	486251	DT DW	Supplementary Report of Qualification Tests -- ITT Cannon Electric PV and KPD CONNECTORS --	Knowland, R. A.	IDEP-201.85.58.35-F1-01	1965-10-30	NORTH AMERICAN AVIATION INC DOWNEY CA SPACE AND INFORMATION	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1971. Other	U
CB-130889	485305	CB DT DW	A Bibliography of Aerospace Valve and Fluid Component Technology.	Howell, Glen W.	AFRPL-TR-65-239	1965-12-01	TRW SYSTEMS REDONDO BEACH CALIF	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130890	484946	DT DW	Explosions Caused by Material Rubbing in Liquid Propellant Environments.	Richardson, L.	IDEP-347.10.00.00-A6-13	1965-11-08	AEROJET-GENERAL CORP SACRAMENTO CALIF	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1971. Other	U
CB-130891	484388	CB DT DW	A Generalized Cost Model for Military Systems.	Eliel, L. Frank	TOR-469(5530-01)-3	1965-08-09	AEROSPACE CORP EL SEGUNDO CALIF TECHNICAL OPERATIONS	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130892	484087	CB DT DW 512159	Diffusion Study in Complex Mountainous Terrain. Volume 1.	Smith, T. B.		1965-04-16	METEOROLOGY RESEARCH INC ALTADENA CALIF	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130893	483179	CB DT DW 44349	Comprehensive Review of the Literature. Part I. Subpart B. Food Survey.	Veazie, W. H., Jr. Heenan, W. F. Gilmour, B. A. Holt, J. C. Litchfield, J. H.		1965-10-31	BATTELLE MEMORIAL INST COLUMBUS OHIO	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130897	482939	CB DT DW 518800	Study of the Liver of the Goat (Capra Hircus) Following Wounding by a High-Velocity Missile: Light- and	Kuhn, Nobuko O. Olivier, Margaret L. Krigman, Martin R.	CRDLR-3335	1965-12-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-130899	482758	CB DT DW 518785	Electrochemistry and Electron Spin Resonance Studies of the Pyridine Aldoximes and Derivatives. I.	Giordano, Wally P. Mennitt, P. Gary	CRDLR-3316	1965-12-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-130900	482540	CB DT DW	The Fungicidal Efficiency of Dichlorophen and Pentachlorophenyl Laurate in Fabrics as Determined by the	Hendey, N. I.	AML-A/27(C) NSTIC-05518/66	1965-12-01	ADMIRALTY MATERIALS LAB POOLE (UNITED KINGDOM)	Distribution limited to US Gov't agencies and their contractors.	U
CB-130901	482443	CB DT DW	Insect and Rodent Control.			1965-06-01	ARMED FORCES PEST CONTROL BOARD WASHINGTON DC	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130903	482363	CB DT DW 44211	Absorption Microspectrophotometer.	Snell, Fred M.		1965-03-31	STATE UNIV OF NEW YORK AT BUFFALO DEPT OF BIOPHYSICS	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130905	482122	CB DT DW	Bibliography. Ground Water Pollution and Waste Water Purification. (Bibliografie.	DE Vries, G.	TDCK-42563	1965-06-01	TECHNISCH DOCUMENTATIE EN INFORMATIE CENTRUM VOOR DE	Distribution limited to US Gov't agencies and their contractors.	U
CB-130909	481148	CB DT DW	Automatic Indexing From Machine Readable Abstracts of Scientific Documents.	Zunde, Pranas	AFOSR-65-1425	1965-09-01	DOCUMENTATION INC BETHESDA MD	Approved for public release; Distribution unlimited.	U
CB-130910	481056	CB DT DW	Metabolism of Rickettsiae and Related Microorganisms.	Weiss, Emilio		1965-12-31	NAVAL MEDICAL RESEARCH INST BETHESDA MD	Approved for public release; Distribution unlimited.	U
CB-130911	481006	CB DT DW	Engineering Manual for Propellant Actuated Devices.			1965-04-01	FRANKFORD ARSENAL PHILADELPHIA PA	Approved for Public Release; Distribution Unlimited.	U
CB-130913	480955	CB DT DW F00500	The Synchronization of Traffic Signals by Mixed-Integer Linear Programming.	Little, John D. C.	TR-19 AROD-968.43	1965-12-01	MASSACHUSETTS INST OF TECH CAMBRIDGE OPERATIONS RESEARCH CENTER	Approved for Public Release; Distribution Unlimited.	U
CB-130915	480213	CB DT DW F00492	Optimum Policies for Partially Observable Markov Systems.	Kakalik, James S.	AROD-968-42 TR-18	1965-10-01	MASSACHUSETTS INST OF TECH CAMBRIDGE OPERATIONS RESEARCH CENTER	Approved for Public Release; Distribution Unlimited.	U
CB-130916	479929	CB DT DW F00487	A Method for the Analysis of a Weedkiller Based on Bromacil and 2,4-D Sodium Salt.	Blackman, D. S. Etheridge, A. J.	CI-MEMO-181	1965-12-01	CHEMICAL INSPECTORATE LONDON (UNITED KINGDOM)	Distribution limited to US Gov't agencies and their contractors; Foreign Government	U
CB-130917	479679	CB DT DW 519394	A Proposed Chemical Information and Data System, Volume I.	Van Meter , Clarence T. Lefkovitz, David. Bedrosian, Samuel D.	CIDS3	1965-12-01	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Approved for Public Release; Distribution Unlimited.	U
CB-130918	479475	CB DT DW 522050	Final Report March 20, 1964 to May 1965.	Houston , Byron R. Tollenaar, H.	IITRI-L6028-3	1965-10-15	CALIFORNIA UNIV DAVIS	Distribution limited to US Gov't agencies and their contractors.	U
CB-130920	479466	CB DT DW 43852	Active Immunization vs Coccidioides immitis. Summary Report, 1 August-31 December 1965.	Conant, Norman F. Wheat, Robert W. Kulkarni, Shared Lynam, Patsy		1965-12-31	DUKE UNIV DURHAM NC	Distribution limited to US Gov't agencies and their contractors;	U
CB-130921	479452	CB DT DW 518828	Pathologic Findings in the Laboratory Goat Part III Traumatic Bone Lesions.	Hopkins, Clarence E., Sr. Light, F. W., Jr.	CRDL-SP-2-67	1965-12-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-130922	479335	CB DT DW F00481	The Changing Environment for Systems Analysis.	Schlesinger, James R.	P-3287	1965-12-01	RAND CORP SANTA MONICA CA	Distribution limited to US Gov't agencies and their contractors;	U
CB-130923	479002	DT DW F00480	Determination of Free Residual Chlorine in Water by Para-Aminodiethylaniline.	Rand , M. C. Bjorklund, John G.		1965-12-31	SYRACUSE UNIV NY DEPT OF CIVIL ENGINEERING	Distribution limited to DoD agencies only.	U
CB-130924	478917	CB DT DW F00479	Pert for Small Projects.	Hardy, D. D.	TR-65271	1965-12-01	ROYAL AIRCRAFT ESTABLISHMENT FARNBOROUGH (UNITED KINGDOM)	Approved for Public Release; Distribution Unlimited.	U
CB-130925	478756	CB DT DW 44122	Effect of 20 to 90 percent Relative Humidity on Dry Vee Virus Aerosols.	Miller, Sol Ehrlich, Richard	IITRI-L6001-27	1965-01-01	IIT RESEARCH INST CHICAGO IL	Distribution limited to US Gov't agencies and their contractors;	U
CB-130926	478755	CB DT DW 44123	C. burnetii -- Assay: Cross-infection of Q Fever in Mice.	Miller, Sol Ehrlich, Richard	IITRI-L6001-42	1965-01-01	IIT RESEARCH INST CHICAGO IL	Distribution limited to US Gov't agencies and their contractors;	U
CB-130929	478617	CB DT DW F00474	The Effect of Certain Toxic Substances on the Basic Forms of Organic Growth in the Gulf of Taganrog.	Iskra, E. V. Turpeyev, E. P. Soldatov, I. N. Simkin, P. G.	NSTIC-04629-65 NSTIC-TRANS-1743	1965-12-01	NAVAL SCIENTIFIC AND TECHNICAL INFORMATION CENTRE ORPINGTON	Distribution limited to US Gov't agencies and their contractors.	U
CB-130930	478263	CB DT DW F00470	Cost Optimization: A Partially Annotated Bibliography.	Rizzardi, Ned W.	LMSC-LS-65-24	1965-10-01	LOCKHEED MISSILES AND SPACE CO SUNNYVALE CA	Distribution limited to US Gov't agencies and their contractors.	U
CB-130931	478083	CB DT DW F00467	Studies of the Effects of Variations in Boundary Conditions on the Atmospheric Boundary Layer.	Lettau, Heinz H. Hamilton, Harry L., Jr. Johnson, Warren B., Jr. Lenschow, Donald H.		1965-10-01	WISCONSIN UNIV MADISON DEPT OF METEOROLOGY	Approved for Public Release; Distribution Unlimited.	U
CB-130933	477763	CB DT DW F00465	Papers and Discussion in Connection with Army Technical Meeting on Quantification of Maintainability			1965-07-19	OFFICE OF THE CHIEF OF RESEARCH AND DEVELOPMENT (ARMY)	Approved for Public Release; Distribution Unlimited.	U
CB-130934	477690	CB DT DW F00464	A Study of the Specificity of Antiglobulin Serum.	Matsuhashi , M. Usui, M.	FTDTT65979	1965-11-05	FOREIGN TECHNOLOGY DIV WRIGHT-PATTERSON AFB OHIO	Distribution limited to DoD agencies only.	U
CB-130937	477609	CB DT DW 43860	Effects of Fluorescein and Radioisotope Labeling on Antibodies. Quarterly Report No. 8, 17 September-17	Rajam, P. C.		1965-12-17	FOUNDATION FOR RESEARCH ON THE NERVOUS SYSTEM BOSTON MA	Distribution limited to US Gov't agencies and their contractors;	U
CB-130939	477604	CB DT DW 519368	Epidemiology of Wheat Stripe Rust.	Powelson, R. L.		1965-12-31	OREGON STATE UNIV CORVALLIS	Distribution limited to US Gov't agencies and their contractors; No Foreign; Other	U
CB-130940	477603	CB DT DW F00460	Quarterly Report (First) - Fy 1966.	Brachman, Philip S.		1965-10-29	COMMUNICABLE DISEASE CENTER ATLANTA GA	Distribution limited to US Gov't agencies and their contractors.	U
CB-130941	477601	CB DT DW 43856	Studies on Microbial Deterioration. Semiannual Report No. 3, 6 April-6 October 1965.	Sharpley, J. M. Drescher, Robert F.		1965-10-06	SHARPLEY LABS INC FREDERICKSBURG VA	Distribution limited to US Gov't agencies and their contractors;	U
CB-130942	477590	CB DT DW 524028	Microscopic Telecommunication by Closed-Circuit Television.	Light, F. W., Jr. Krigman, Martin R.	CRDLR-3347	1965-12-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-130943	477588	CB DT DW 518799	Regulation of Metabolism in Working Muscle in Vivo II Concentrations of Adenine Nucleotides, Arginine	Sacktor , Bertram Hurlbut, Edward C.	CRDLR-3334	1965-11-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-130944	477587	CB DT DW 518798	Regulation of Metabolism in Working Muscle in Vivo I Concentrations of Some Glycolytic, Tricarboxylic	Sacktor , Bertram Wormser-Shavit, Eva	CRDLR-3333	1965-11-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-130945	477586	CB DT DW 518789	Pulmonary Alveolar Proteinosis: Electron-Microscopic, Histochemical, and Surface-Tension Observations.	Kuhn, Charles, III Gyorkey, Ferenc Levine, Bernard E. Ramirez-R, Jose	CRDLR-3322	1965-11-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-130946	477575	CB DT DW 530111	Aerosol Studies; Volume I; Study of Aerosol Reagglomeration.	Knutson, Earl		1965-11-15	LITTON SYSTEMS INC MINNEAPOLIS MINN APPLIED SCIENCE DIV	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130948	477573	CB DT DW F00459	Aerosol Studies Volume II; Part II; Annex C Analysis of Aircraft Spray Deposition Patterns.		2901-VOL-2-PT-2-ANNEX-C	1965-11-15	LITTON SYSTEMS INC MINNEAPOLIS MINN APPLIED SCIENCE DIV	Distribution limited to US Gov't agencies and their contractors;	U
CB-130949	477572	CB DT DW 43683	Aerosol Studies. Volume 3. Part 2. Appendix C. Computer Results for Target Effectiveness Study. Final		2901-VOL-3-PT-2-APP-C	1965-11-15	LITTON SYSTEMS INC MINNEAPOLIS MN APPLIED SCIENCE DIV	Distribution limited to US Gov't agencies and their contractors;	U
CB-130950	477571	CB DT DW F00458	Final Technical Report, 1 September 1962-31 August 1965. Definition of the Requirements For	Moulder, James W.		1965-08-31	CHICAGO UNIV IL DEPT OF MICROBIOLOGY	Distribution authorized to US Gov't agencies and their contractors.	U
CB-130952	477567	CB DT DW F00456	Annual Report 1 Jul 46-30 Jun 65.	Caldwell, R. M. Schafer, J. F. Roberts, J. J.		1965-06-30	PURDUE UNIV LAFAYETTE IND DEPT OF BOTANY AND PLANT PATHOLOGY	Distribution limited to US Gov't agencies and their contractors.	U
CB-130953	477492	CB DT DW F00454	Detailed Engineering Design Thermoelectric Environmental Control Unit.	Bertrem , Colvin J.	L-8028-REV-1	1965-11-12	GARRETT CORP LOS ANGELES CALIF AIRESEARCH MFG DIV	Approved for Public Release; Distribution Unlimited.	U
CB-130954	477483	CB DT DW F00453	Thermoelectric Environmental Control Unit.	Stillwagon, R. E.	ENGINEERING MEMO-3515	1965-10-08	WESTINGHOUSE ELECTRIC CORP CHESWICK PA ATOMIC EQUIPMENT DIV	Approved for Public Release; Distribution Unlimited.	U
CB-130955	477479	CB DT DW F00452	Thermoelectric Environmental Control Unit.	Hudelson, G. D. Gable, G. K. Beck, A. A.		1965-09-27	CARRIER AIR CONDITIONING CO SYRACUSE NY MILITARY EQUIPMENT DEPT	Approved for Public Release; Distribution Unlimited.	U
CB-130956	477389	CB DT DW 518318	Proceedings of the United States Army Operations Research Symposium.			1965-10-25	ARMY RESEARCH OFFICE RESEARCH TRIANGLE PARK NC	Approved for Public Release; Distribution Unlimited.	U
CB-130957	477386	CB DT DW 519868	E36-7 Portable Flame Thrower (Modified M9-7 Portable Flame Thrower) Special Test Number 65-3.	Monahan, Hugh, Jr.	CRDL-TM-5-17	1965-10-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130958	477110	CB DT DW 519387	A Study for a Proposed Chemical Information and Data System.	Van Meter , Clarence T.	CIDS-2	1965-04-01	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Approved for Public Release; Distribution Unlimited.	U
CB-130959	477099	CB DT DW 518959	Investigation of Impaction Mechanisms of Particles on Collectors in Turbulent Flow.	Torgeson, William L.	QR3	1965-12-01	LITTON SYSTEMS INC ST PAUL MINN APPLIED SCIENCE DIV	Distribution limited to US Gov't agencies only; Other requests for this document shall be	U
CB-130961	476919	CB DT DW F00449	The Influence of Atmospheric Ducting on Electromagnetic Propagation.	Schmitt, Neil M.	USAERDAA-MET-7-65 ECOM-6009	1965-11-01	ARMY ELECTRONICS RESEARCH AND DEVELOPMENT ACTIVITY FORT	Distribution limited to US Gov't agencies and their contractors.	U
CB-130962	476905	CB DT DW F00448	The Influence of Atmospheric Refraction on Electromagnetic Propagation.	Schmitt, Neil M.	USAERDAA-MET-10-65 ECOM-6010	1965-11-01	ARMY ELECTRONICS RESEARCH AND DEVELOPMENT ACTIVITY FORT	Distribution limited to US Gov't agencies and their contractors.	U
CB-130964	476802	CB DT DW F00445	Progress on Evaluation of Ocular Infections.	Cluff, Leighton E. Johnson, Joseph E., III		1965-11-01	JOHNS HOPKINS UNIV BALTIMORE MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-130967	476606	CB DT DW F00442	Report on Insect and Rodent Control.			1965-03-01	ARMED FORCES PEST CONTROL BOARD WASHINGTON DC	Distribution limited to US Gov't agencies and their contractors.	U
CB-130969	476557	CB DT DW F00440	Security Techniques for Edp of Multilevel Classified Information.	Bingham, Harvey W.	BURROUGHS-4424-65-112 RADC-TR-65-415	1965-12-01	BURROUGHS CORP PAOLI PA	Approved for Public Release; Distribution Unlimited.	U
CB-130970	476512	CB DT DW 60272	Coccidioidin Skin Tests and Serologic Reactions in Immunized and Infected Monkeys.	Lowe, Edwin P. Sinski, James T. Huppert, Milton Ray, John G., Jr.	TECHNICAL MANUSCRIPT-272 TM272	1965-12-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-130971	476499	CB DT DW 60270	Oral Live Tularemia Vaccine.	Eigelsbach , Henry T. Tulis , Jerry J. Hornick, Richard B.	TECHNICAL MANUSCRIPT-270	1965-12-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-130972	476498	CB DT DW 60266	Venezuelan Equine Encephalitis Virus: A Doubly Blocked Conditional Lethal Virus. Technical Manuscript	Zebovitz, Eugene	BL-TM-266	1965-12-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-130973	476496	CB DT DW F00439 EDG E502872	Diapause Studies of Aedes Triseriatus. Report No. 14, 1 August-31 October 1965.	Delong, D. M. Venard, Carl		1965-10-25	OHIO STATE UNIV RESEARCH FOUNDATION COLUMBUS	Distribution Controlled. All requests for this document shall be referred to Commanding	U
CB-130974	476494	CB DT DW 60278	Kinetics of the Effects of Oxygen on Lyophilized Serratia Marcescens.	Dewald, Robert R.	TECHNICAL MANUSCRIPT-278	1965-12-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-130976	476489	CB DT DW F00437	Stabilization of Beta-Propiolactone.	Deno, Norman C.		1965-12-15	PENNSYLVANIA STATE UNIV UNIVERSITY PARK COLL OF SCIENCE	Distribution limited to US Gov't agencies and their contractors; No foreign without	U
CB-130977	476484	CB DT DW 43472	Pilot Operation of Dry, Line-source Disseminator Loading System. Final Report, 6 May-29 October 1965.	Figenshau, J. K. Stender, D. Roling, W. Morfitt, G.		1965-10-29	LITTON SYSTEMS INC MINNEAPOLIS MN APPLIED SCIENCE DIV	Distribution limited to US Gov't agencies and their contractors;	U
CB-130978	476478	CB DT DW 43476	Experimental Epidemeology of Coccidioidomycosis. Final Report, 15 May 1963-31 January 1965.	Reed, Raymond E.		1965-12-15	ARIZONA UNIV TUCSON COLL OF AGRICULTURE	Distribution limited to US Gov't agencies and their contractors;	U
CB-130980	476472	CB DT DW 43428	A Study of the Requirements for Production of Interferons from a Genetic Point of View.	Lockart, Royce Z., Jr.		1965-01-01	TEXAS UNIV AT AUSTIN	Distribution limited to US Gov't agencies and their contractors;	U
CB-130981	476471	CB DT DW F00435	Methods for Evaluating the Cost/Effectiveness of Alternative Support Plans for Major Weapon Systems.			1965-09-01	LOGISTICS MANAGEMENT INST WASHINGTON DC	Distribution limited to US Gov't agencies and their contractors.	U
CB-130982	476466	CB DT DW 43425	Development of Mammalian Tissue Culture Cell Lines with Shortened Generation Rates. Quarterly Technical	Yamashiroya, Herbert M.	IITRI-L6028-2	1965-11-15	IIT RESEARCH INST CHICAGO IL	Distribution limited to US Gov't agencies and their contractors;	U
CB-130983	476456	CB DT DW 43631	Submicron Particle Classifier Applicable for Airborne Virus Collection.	Prins, M. P.	ASD-2821	1965-12-02	LITTON SYSTEMS INC MINNEAPOLIS MN APPLIED SCIENCE DIV	Distribution limited to US Gov't agencies and their contractors;	U
CB-130984	476455	CB DT DW F00434	Investigations on Cereal Rust Physiology.	Wynn, Willard K. Staples, Richard C. Owens, Robert G.		1965-01-01	BOYCE THOMPSON INST FOR PLANT RESEARCH INC YONKERS NY	Distribution limited to US Gov't agencies and their contractors.	U
CB-130985	476441	CB DT DW 519875	A Method of Copper Plating Glass and Plastic (Styrene-Type) Microspheres.	Fox , Lloyd E. Gerber, Bernard V.	CRDL-TM-520	1965-12-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-130986	476409	CB DT DW 60262	Direct Evidence for the Cathodic Depolarization Theory of Bacterial Corrosion.	Iverson, Warren P.	TECHNICAL MANUSCRIPT-262	1965-12-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-130992	476220	CB DT DW 519197	Feasibility and Exploratory Development of Procedures and Instrumentation for the Field Evaluation of	Rosenblum, Earl S.	GCA-TR-65-19-G	1965-11-01	GCA CORP BEDFORD MASS GCA TECHNOLOGY DIV	Distribution limited to US Gov't agencies and their contractors; No Foreign. Other	U
CB-130995	475577	CB DT DW 60267	Host Influence on the Characteristics of Venezuelan Equine Encephalomyelitis Virus. Technical Manuscript	Heydrick, Fred P. Wachter, Ralph F. Hearn, Henry J., Jr.	ABL-TM-267	1965-12-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-130997	475557	CB DT DW 62018	Vesicular Stomatitis Virus: a Survey and Analysis of the Literature.	Boring, William D. Smith, Dorothy G. Gorelick, Arthur N.	TECHNICAL STUDY-43-REV TS43R	1965-11-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-130998	475556	CB DT DW 60258	Factors Affecting Responses of White Carneau Pigeons to Respiratory Doses of VEE Virus. Technical	Miller, William S.	BL-TM-258	1965-12-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-131000	475515	CB DT DW F00429	Air Delivery of Ammunition and Explosives by Parachute.		JANAF-40	1965-09-01	JOINT ARMY-NAVY-AIR FORCE FUZE COMMITTEE WASHINGTON DC	Distribution limited to US Gov't agencies and their contractors.	U
CB-131001	475356	CB DT DW F00428	An Analysis of Population Problems as they Affect Economic Growth in Selected Latin American Countries.	Griffin, Gerald B.		1965-01-01	NAVAL POSTGRADUATE SCHOOL MONTEREY CA	Approved for Public Release; Distribution Unlimited.	U
